"...1","Site","Clinic","Participation"
2019-08-01,"1","MLK Center",1633
2019-08-01,"3","Westmoreland",3544
2019-08-01,"5","Lake June",6661
2019-08-01,"7","Carrollton",2367
2019-08-01,"8","Grand Prairie",3952
2019-08-01,"9","Irving",6391
2019-08-01,"10","Highland Hills",2119
2019-08-01,"11","East Garland",4191
2019-08-01,"17","Northwest Highway",2940
2019-08-01,"24","North Dallas",5100
2019-08-01,"25","Ledbetter",7255
2019-08-01,"26","John West/Buckner",4755
2019-08-01,"30","Duncanville",2818
2019-08-01,"32","West Garland",4144
2019-08-01,"34","Stemmons Clinic",0
2019-08-01,"37","Abrams Road",3617
2019-08-01,"39","Mesquite",3570
2019-09-01,"1","MLK Center",1641
2019-09-01,"3","Westmoreland",3545
2019-09-01,"5","Lake June",6674
2019-09-01,"7","Carrollton",2405
2019-09-01,"8","Grand Prairie",3962
2019-09-01,"9","Irving",6306
2019-09-01,"10","Highland Hills",2013
2019-09-01,"11","East Garland",4197
2019-09-01,"17","Northwest Highway",2926
2019-09-01,"24","North Dallas",5084
2019-09-01,"25","Ledbetter",7283
2019-09-01,"26","John West/Buckner",4735
2019-09-01,"30","Duncanville",2860
2019-09-01,"32","West Garland",4134
2019-09-01,"34","Stemmons Clinic",0
2019-09-01,"37","Abrams Road",3659
2019-09-01,"39","Mesquite",3624
2019-10-01,"1","MLK Center",1624
2019-10-01,"3","Westmoreland",3500
2019-10-01,"5","Lake June",6690
2019-10-01,"7","Carrollton",2386
2019-10-01,"8","Grand Prairie",4007
2019-10-01,"9","Irving",6316
2019-10-01,"10","Highland Hills",1544
2019-10-01,"11","East Garland",4216
2019-10-01,"17","Northwest Highway",2865
2019-10-01,"24","North Dallas",5106
2019-10-01,"25","Ledbetter",7606
2019-10-01,"26","John West/Buckner",4687
2019-10-01,"30","Duncanville",2924
2019-10-01,"32","West Garland",4119
2019-10-01,"34","Medical District",0
2019-10-01,"37","Abrams Road",3633
2019-10-01,"39","Mesquite",3688
2019-11-01,"1","MLK Center",1575
2019-11-01,"3","Westmoreland",3510
2019-11-01,"5","Lake June",6609
2019-11-01,"7","Carrollton",2391
2019-11-01,"8","Grand Prairie",3953
2019-11-01,"9","Irving",6297
2019-11-01,"10","Highland Hills",1262
2019-11-01,"11","East Garland",4165
2019-11-01,"17","Northwest Highway",2783
2019-11-01,"24","North Dallas",5017
2019-11-01,"25","Ledbetter",7637
2019-11-01,"26","John West/Buckner",4574
2019-11-01,"30","Duncanville",2924
2019-11-01,"32","West Garland",4080
2019-11-01,"34","Medical District",0
2019-11-01,"37","Abrams Road",3641
2019-11-01,"39","Mesquite",3723
2019-12-01,"1","MLK Center",1599
2019-12-01,"3","Westmoreland",3487
2019-12-01,"5","Lake June",6673
2019-12-01,"7","Carrollton",2418
2019-12-01,"8","Grand Prairie",3898
2019-12-01,"9","Irving",6289
2019-12-01,"10","Highland Hills",1064
2019-12-01,"11","East Garland",4114
2019-12-01,"17","Northwest Highway",2723
2019-12-01,"24","North Dallas",4999
2019-12-01,"25","Ledbetter",7763
2019-12-01,"26","John West/Buckner",4475
2019-12-01,"30","Duncanville",2936
2019-12-01,"32","West Garland",4066
2019-12-01,"34","Medical District",0
2019-12-01,"37","Abrams Road",3617
2019-12-01,"39","Mesquite",3672
2020-01-01,"1","MLK Center",1630
2020-01-01,"3","Westmoreland",3444
2020-01-01,"5","Lake June",6822
2020-01-01,"7","Carrollton",2412
2020-01-01,"8","Grand Prairie",3965
2020-01-01,"9","Irving",6339
2020-01-01,"10","Highland Hills",1121
2020-01-01,"11","East Garland",4173
2020-01-01,"17","Northwest Highway",2852
2020-01-01,"24","North Dallas",5062
2020-01-01,"25","Ledbetter",7872
2020-01-01,"26","John West/Buckner",4512
2020-01-01,"30","Duncanville",3050
2020-01-01,"32","West Garland",4074
2020-01-01,"34","Medical District",0
2020-01-01,"37","Abrams Road",3687
2020-01-01,"39","Mesquite",3718
2020-02-01,"1","MLK Center",1603
2020-02-01,"3","Westmoreland",3404
2020-02-01,"5","Lake June",6834
2020-02-01,"7","Carrollton",2407
2020-02-01,"8","Grand Prairie",3979
2020-02-01,"9","Irving",6294
2020-02-01,"10","Highland Hills",1200
2020-02-01,"11","East Garland",4274
2020-02-01,"17","Northwest Highway",2835
2020-02-01,"24","North Dallas",5037
2020-02-01,"25","Ledbetter",7897
2020-02-01,"26","John West/Buckner",4520
2020-02-01,"30","Duncanville",3036
2020-02-01,"32","West Garland",4080
2020-02-01,"34","Medical District",0
2020-02-01,"37","Abrams Road",3616
2020-02-01,"39","Mesquite",3689
2020-03-01,"1","MLK Center",1487
2020-03-01,"3","Westmoreland",3252
2020-03-01,"5","Lake June",6655
2020-03-01,"7","Carrollton",2266
2020-03-01,"8","Grand Prairie",3918
2020-03-01,"9","Irving",6035
2020-03-01,"10","Highland Hills",1143
2020-03-01,"11","East Garland",4223
2020-03-01,"17","Northwest Highway",2820
2020-03-01,"24","North Dallas",5216
2020-03-01,"25","Ledbetter",8100
2020-03-01,"26","John West/Buckner",4346
2020-03-01,"30","Duncanville",3106
2020-03-01,"32","West Garland",3981
2020-03-01,"34","Medical District",291
2020-03-01,"37","Abrams Road",3485
2020-03-01,"39","Mesquite",3490
2020-04-01,"1","MLK Center",1092
2020-04-01,"3","Westmoreland",2887
2020-04-01,"5","Lake June",6892
2020-04-01,"7","Carrollton",2025
2020-04-01,"8","Grand Prairie",4191
2020-04-01,"9","Irving",5727
2020-04-01,"10","Highland Hills",1170
