"Date","Site","Clinic","Manager","Is the current WIC logo on or above entrance?","Are accurate hours of operation displayed on door in a permanent format?","Is staff properly welcoming, Hi, Welcome to WIC?","Is staff at entrance to greet and provide information promptly?","Is staff communicating options to walk-ins?","Is water visible and available to clients?","Is the WIC material QR code visible, colorful & intentional?","Is the WIC material QR code linked to the WIC shopping guide?","Is the WIC material QR code linked to social media?","Is the WIC material QR code linked to the WIC cookbook?","Is the WIC material QR code linked to state website?","Does the entire scope of practice take place in a private room?","Do all rooms display the Jordan Michael Design?","Do all private rooms display room status indicators?","Is there a television present?","Is the television utilized appropriately?","Is the environment peaceful and neutral? (smells, sounds, etc.)","Is there developmentally appropriate entertainment for children in every room?","Is a clinic manager or supervisor present?","Padded or gel chairs available","Rolling cart per room","Client does not move","Room per Certifier","# of Families Waiting","Minimum of 2 client padded chairs","Maximum of 8 sq ft desk","Maximum of 12 sq ft lab equipment","Small filing cabinet","3 or more wall hangings","Sharp corners covered","Electrical outlets covered","Hazard box up and out of the way","No flammable clutter","No confidential convo with door open","Alternative lighting","Interactive rugs","Kitchen sets","1 or more child chairs","Child books visible","Standard filing system for forms","Gloves mounted to wall"
2023-01-09,"5","Lake June","Heather",1,0.902542513342394,1,1,1,1,1,1,1,1,1,1,1,0,1,0.370338449298903,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-13,"5","Lake June","Heather",1,0.925334890071629,1,1,1,1,1,1,1,1,1,1,1,0.303638113708709,1,0.543352414005059,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-23,"5","Lake June","Heather",1,0.93588578334799,1,1,1,1,1,1,1,1,1,1,1,0.48555833411122,1,0.642527623155795,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-27,"5","Lake June","Heather",1,0.942701817385888,1,1,1,1,1,1,1,1,1,1,1,0.627606093566568,1,0.72250620852119,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-14,"5","Lake June","Heather",1,0.954151245361777,1,1,1,1,1,1,1,1,1,1,1,0.714088475444859,1,0.7843125173591,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-04-26,"5","Lake June","Heather",1,0.954151245361777,1,1,1,1,1,1,1,1,1,1,1,0.714088475444859,1,0.7843125173591,1,1,1,0,0,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-01,"5","Lake June","Heather",1,0.954151245361777,1,1,1,1,1,1,1,1,1,1,1,0.714088475444859,1,0.7843125173591,1,1,1,0,0,1,1,8.45254556882464,0.9,0.6,0.7,0.9,0.6,0,0.4,0,0.8,1,0,0.3,0.5,0,0,0,0
2023-06-01,"5","Lake June","Heather",1,0.954151245361777,1,1,1,1,1,1,1,1,1,1,1,0.714088475444859,1,0.7843125173591,1,1,1,0,0,1,1,8.45254556882464,0.9,0.6,0.7,0.9,0.6,0.0754098360655738,0.475409836065574,0,0.8,1,0,0.3,0.5,0.0754098360655738,0,0,0
2023-06-12,"5","Lake June","Heather",1,0.954151245361777,1,1,1,1,1,1,1,1,1,1,1,0.714088475444859,1,0.7843125173591,1,1,1,0,0,1,1,8.77922077922078,0.9,0.6,0.7,0.9,0.6,0.0754098360655738,0.475409836065574,0,0.8,1,0,0.3,0.5,0.0754098360655738,0,0,0
2023-07-01,"5","Lake June","Heather",1,0.954151245361777,1,1,1,1,1,1,1,1,1,1,1,0.714088475444859,1,0.7843125173591,1,1,1,0,0,1,1,8.45254556882464,0.983516483516484,0.934065934065934,0.950549450549451,0.983516483516484,0.934065934065934,0.0217765042979943,0.868314493529393,0.780603923297333,0.967032967032967,1,0.23236247992695,0.699395446959917,0.815878963443433,0.0217765042979943,0.780603923297333,0.780603923297333,0.780603923297333
2023-07-03,"5","Lake June","Heather",1,0.954151245361777,1,1,1,1,1,1,1,1,1,1,1,0.714088475444859,1,0.7843125173591,1,1,1,0,0,1,1,8.45254556882464,0.983516483516484,0.934065934065934,0.950549450549451,0.983516483516484,0.934065934065934,0.0217765042979943,0.868314493529393,0.780603923297333,0.967032967032967,1,0.23236247992695,0.699395446959917,0.815878963443433,0.0217765042979943,0.780603923297333,0.780603923297333,0.780603923297333
2023-08-16,"5","Lake June","Heather",1,0.954151245361777,1,1,1,1,1,1,1,1,1,1,1,0.714088475444859,1,0.7843125173591,1,1,1,0,0,1,1,8.45254556882464,0.983516483516484,0.934065934065934,0.950549450549451,0.983516483516484,0.934065934065934,0.0217765042979943,0.868314493529393,0.780603923297333,0.967032967032967,1,0.23236247992695,0.699395446959917,0.815878963443433,0.0217765042979943,0.780603923297333,0.780603923297333,0.780603923297333
2023-08-16,"5","Lake June","Heather",1,0.954151245361777,1,1,1,1,1,1,1,1,1,1,1,0.714088475444859,1,0.7843125173591,1,1,1,0,0,1,1,8.45254556882464,0.983516483516484,0.934065934065934,0.950549450549451,0.983516483516484,0.934065934065934,0.0217765042979943,0.868314493529393,0.780603923297333,0.967032967032967,1,0.23236247992695,0.699395446959917,0.815878963443433,0.0217765042979943,0.780603923297333,0.780603923297333,0.780603923297333
2023-08-16,"5","Lake June","Heather",1,0.954151245361777,1,1,1,1,1,1,1,1,1,1,1,0.714088475444859,1,0.7843125173591,1,1,1,0,0,1,1,8.45254556882464,0.983516483516484,0.934065934065934,0.950549450549451,0.983516483516484,0.934065934065934,0.0217765042979943,0.868314493529393,0.780603923297333,0.967032967032967,1,0.23236247992695,0.699395446959917,0.815878963443433,0.0217765042979943,0.780603923297333,0.780603923297333,0.780603923297333
2022-11-28,"8","Grand Prairie","Cheryl",1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-05,"8","Grand Prairie","Cheryl",1,1,0.405405405405405,0.405405405405405,1,1,1,0.594594594594595,1,0.594594594594595,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-14,"8","Grand Prairie","Cheryl",1,1,0.703632887189293,0.703632887189293,1,1,1,0.296367112810707,1,0.296367112810707,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-19,"8","Grand Prairie","Cheryl",1,1,0.80728051391863,0.80728051391863,1,1,1,0.565310492505353,1,0.565310492505353,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-03,"8","Grand Prairie","Cheryl",1,1,0.867019295239514,0.867019295239514,1,1,1,0.718095805706623,1,0.718095805706623,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-13,"8","Grand Prairie","Cheryl",1,1,0.90191506809667,0.90191506809667,1,1,1,0.795468797736007,1,0.795468797736007,1,1,1,0.353105754851988,1,0.353105754851988,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-23,"8","Grand Prairie","Cheryl",1,1,0.923078597061669,0.923078597061669,1,1,1,0.841153855750397,1,0.841153855750397,1,1,1,0.52511677739234,1,0.52511677739234,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-06,"8","Grand Prairie","Cheryl",1,1,0.936501178413181,0.936501178413181,1,1,1,0.869949216555691,1,0.869949216555691,1,1,1,0.627981449348265,1,0.627981449348265,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-06,"8","Grand Prairie","Cheryl",0.618701377553905,1,0.946042647767062,0.946042647767062,1,1,1,0.890421434111377,1,0.890421434111377,1,1,1,0.700016875794185,1,0.700016875794185,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-20,"8","Grand Prairie","Cheryl",0.469763370796306,1,0.956315732253105,0.956315732253105,1,1,1,0.911497291136318,1,0.911497291136318,1,1,1,0.760753507575966,1,0.760753507575966,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-01,"8","Grand Prairie","Cheryl",0.352094629736209,1,0.962184058806086,0.962184058806086,1,0.503350638986599,1,0.923855385827107,1,0.923855385827107,1,1,1,0.800986787668076,1,0.800986787668076,1,1,1,0,0,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
